Date, ADANIENT ,ADANIPORT,AMBUJACEM, APLLTD ,ASIANPAINT,AXISBANK, BAJAJ AUTO ,BAJAJFINSERV,BAJAJFIN,BOB,BERGERPAINT,BHARTIAIRTEL,BPCL,BRITANIA,CIPLA,DABUR, DIVISLAB , DLF ,DRREDDY,GODREJPROP,HCLTECH,HDFC,HDFCBANK,HEROMOTO,HINDUNILEVER,ICICIBANK,INDSIND BANK,INFOSYS,ITC,JSPL,JSWSTEEL,KOTAKBANK,L&TFIN,LICFINHOU,L&T,LTTS,M&MFIN,MARUTI,PNB,RELIANCE,SBIN,SUNPHARM,TATACOFFEE,TATAMOTORS,TATASTEEL,TCS,TITAN,ULTRATECH CEM,UPL,WIPRO
29-07-2019,128.42,367.19,187.79,519.86,"1,493.40",720.25,"2,301.16","7,115.13","3,239.96",109,311.43,333.35,293.83,"2,520.60",517.89,420.91,"1,623.78",177.61,"2,612.88",937.5,488.63,"2,083.07","1,114.83","2,305.75","1,662.81",429.35,"1,424.77",746.91,242.03,136.1,231.85,"1,502.50",99.5,486.93,"1,300.66","1,417.89",302.09,"5,435.85",69.3,"1,184.70",340.65,420.71,73.42,137.55,413.25,"2,030.83","1,063.26","4,355.22",570.6,260.76
30-07-2019,124.36,366.8,185,494.61,"1,488.96",707.6,"2,279.14","7,072.37","3,237.27",102.65,312.61,344.51,288.08,"2,468.49",515.66,416.04,"1,628.89",175.93,"2,520.39",942.95,492.56,"2,061.98","1,118.78","2,165.99","1,669.21",425.35,"1,330.27",748.09,243.07,130.15,221.15,"1,498.70",96.06,485.09,"1,305.26","1,430.23",294.61,"5,382.97",66.9,"1,155.30",324.55,400.51,72.69,133.45,395.71,"2,077.69","1,068.51","4,303.98",560,260.66
31-07-2019,127.78,370.83,184.82,513.63,"1,501.14",674.1,"2,327.85","7,092.15","3,239.36",106.7,314.58,336.39,296.66,"2,457.12",519.75,419.48,"1,604.63",176.33,"2,534.76",952.95,497.82,"2,056.70","1,118.48","2,259.29","1,675.76",424.6,"1,405.42",748.99,244.24,135.1,228.06,"1,519.55",97.44,489.29,"1,315.65","1,406.27",301.79,"5,346.37",69.2,"1,140.97",329.16,416.51,73.23,135.6,411.92,"2,103.00","1,045.88","4,333.24",581.04,263.64
01-08-2019,124.46,364.49,180.15,511.28,"1,484.96",669.3,"2,347.41","7,076.31","3,209.52",105.55,312.32,322.74,295.07,"2,467.46",511.12,418.45,"1,586.56",170.63,"2,494.54",941.6,491.57,"2,022.77","1,106.11","2,271.23","1,680.28",417.05,"1,391.30",725.58,241.85,128.65,216.34,"1,495.80",94.63,479.85,"1,287.91","1,424.18",295.65,"5,446.95",67.5,"1,154.66",314.25,414.9,73.37,129.55,400.43,"2,078.55","1,046.82","4,218.40",563.03,268.71
02-08-2019,127.09,368.76,182.62,501.28,"1,524.93",673.85,"2,405.59","7,058.03","3,225.26",104.9,313.75,342.32,294.04,"2,461.30",514.76,419.53,"1,570.30",170.04,"2,490.06",936.55,486.25,"2,059.61","1,102.40","2,303.26","1,686.24",410.6,"1,375.63",731.95,239.09,119.45,216.25,"1,507.60",93.7,473.01,"1,299.48","1,446.19",298.72,"5,561.06",67.65,"1,165.09",305.63,410.56,71.42,130.7,390.04,"2,102.62","1,054.15","4,285.54",559.81,262
05-08-2019,123.71,361.3,180.56,515.2,"1,505.39",662.45,"2,423.35","6,981.34","3,147.72",103.15,315.52,356.42,291.08,"2,446.07",517.56,422.58,"1,549.43",163.21,"2,475.79",912.55,486.54,"2,086.31","1,084.93","2,300.67","1,689.88",402.65,"1,380.90",732.99,234.84,112.55,209.09,"1,460.10",93.25,468,"1,276.29","1,460.24",290.36,"5,542.49",66.6,"1,124.76",297.5,407.14,68.84,123.75,380.64,"2,143.90","1,026.53","4,232.85",528.04,260.36
06-08-2019,127.18,370.24,184.77,508.34,"1,545.31",679,"2,414.15","7,090.65","3,259.48",104.2,308.68,367.13,296.49,"2,419.70",498.85,426.42,"1,587.20",166.53,"2,516.65",928,492.84,"2,122.71","1,089.83","2,367.12","1,692.70",410.25,"1,409.65",730.87,234.03,114.6,208.95,"1,485.30",97.19,456.96,"1,306.35","1,483.27",297.34,"5,701.77",67.95,"1,109.95",298.64,408.17,70.55,122.5,382.89,"2,111.77","1,036.33","4,343.31",536.24,257.28
07-08-2019,124.61,365.62,187.57,509.95,"1,538.74",659.95,"2,409.80","7,146.71","3,253.05",97.6,301.09,364.79,284.3,"2,410.21",516.96,425.08,"1,604.78",164.2,"2,517.24",918.7,492.1,"2,108.46","1,087.29","2,402.31","1,724.87",408.4,"1,418.85",732.42,229.28,102.25,203.86,"1,476.30",94.58,465.41,"1,289.80","1,497.76",292.93,"5,644.78",64.05,"1,091.36",287.25,410.95,69.91,117.4,364.1,"2,110.39","1,018.26","4,328.00",520.08,260.91
08-08-2019,129.86,367.29,188.85,519.12,"1,545.36",660.1,"2,501.06","7,284.60","3,321.69",100.05,302.03,370.82,294.94,"2,445.36",501.75,431.27,"1,621.57",170.04,"2,532.15",908.65,523.66,"2,115.34","1,111.76","2,481.57","1,749.96",414.4,"1,414.05",744.36,232.99,100.2,212.93,"1,502.75",97.88,461.3,"1,290.37","1,519.28",297.63,"5,769.16",66.65,"1,133.61",291.66,416.22,69.62,124.05,350.28,"2,152.96","1,030.78","4,219.85",520.13,264.09
09-08-2019,131.35,369.89,194.93,534.95,"1,554.83",660.8,"2,504.62","7,497.97","3,406.35",99.85,302.08,369.82,297.48,"2,455.37",483.24,434.89,"1,635.27",173.85,"2,533.63",903.7,522.73,"2,143.79","1,136.08","2,514.51","1,787.08",420.15,"1,413.40",745.4,229.78,99.7,211.88,"1,532.10",102.26,471.92,"1,294.12","1,544.31",315.65,"5,962.35",66.55,"1,143.20",288.68,411.88,71.62,122.05,345.46,"2,141.66","1,056.43","4,267.89",520.72,261.85
